2021-10-21 14:59:38,632 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=REGISTER {datanodeDetails=aebaed38-4c58-4fd8-811f-bf620cacae15{ip: 127.0.1.1, host: hkl, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2021-10-21 14:59:40,634 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "2b2e8a9e-89e8-43ea-873e-6a669b9e2ed3" uuid128 { mostSigBits: 3111576806082757610 leastSigBits: -8701400441103175981 } } type: RATIS factor: ONE datanode { uuid: "aebaed38-4c58-4fd8-811f-bf620cacae15" ipAddress: "127.0.0.1" hostName: "localhost" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "aebaed38-4c58-4fd8-811f-bf620cacae15" networkLocation: "/default-rack" uuid128 { mostSigBits: -5856107539387101224 leastSigBits: -9142378290698473963 } } cmdId: 1634795978633 } ]} | ret=SUCCESS |  
2021-10-21 14:59:41,711 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 14:59:46,835 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:00:16,840 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:00:46,847 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:01:16,838 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:01:46,841 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:02:16,839 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:02:46,837 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:03:16,839 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:03:46,840 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:04:16,840 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:04:46,840 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:05:16,841 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:05:46,835 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:06:16,836 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:06:46,839 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:07:16,841 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:07:46,841 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:08:16,842 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:08:46,838 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
2021-10-21 15:09:16,844 | INFO  | SCMAudit | user=hkl | ip=127.0.0.1 | op=SEND_HEARTBEAT {datanodeUUID=aebaed38-4c58-4fd8-811f-bf620cacae15, command=[]} | ret=SUCCESS |  
